,country,year,population,netMigration,population_in_millions
11458,United States,2021,332048977.0,561580.0,332
11459,United States,2020,331526933.0,675560.0,331
11460,United States,2019,328329953.0,1158444.0,328
11461,United States,2018,326838199.0,1200796.0,326
11462,United States,2017,325122128.0,1377630.0,325
11463,United States,2016,323071755.0,1449371.0,323
11464,United States,2015,320738994.0,1221849.0,320
11465,United States,2014,318386329.0,1250914.0,318
11466,United States,2013,316059947.0,1320840.0,316
11467,United States,2012,313877662.0,1323368.0,313
