Country,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Afghanistan,3063,2723,1902,1552,1554,856,535,0,0,0
Albania,6600,8524,10001,12153,11489,6982,5524,14423,25483,25731
Algeria,11855,13704,11353,12888,12272,5137,691,11613,19240,19142
Angola,11330,6859,7670,7538,4904,1866,1394,3873,5446,5812
Argentina,249293,303897,360891,334430,222043,90187,39256,219375,288110,289971
Armenia,12644,13875,10977,12685,13163,5631,1880,9318,23252,26570
Australia,51781,59478,60730,61040,58596,27011,14419,29636,56958,67985
Austria,10717,12036,12460,12100,14335,7546,4836,10115,10596,12518
Azerbaijan,7333,7750,7900,8247,9142,3716,3255,5306,8297,11590
Bahamas,21843,18613,16893,14238,16125,9026,10503,18036,25218,22132
Bahrain,7118,8147,6830,7678,7476,3690,3710,8792,10006,10361
Bangladesh,17423,13290,10862,19418,25793,9868,12408,25415,39964,39889
Barbados,23253,26505,24883,26567,34530,13490,8818,15760,40628,31207
Belarus,3515,6822,7370,15591,18049,8332,1584,703,0,0
Belgium,12024,13596,13929,13736,14963,6626,5818,13518,15622,18338
Belize,4880,5161,4340,4199,5266,2194,3648,9124,10570,10828
Benin,1822,1793,1540,1488,1426,767,205,1206,1884,2550
Bermuda,1678,1607,1562,1591,1424,689,945,976,1787,1951
Bolivia,22891,28407,26696,19329,25074,11225,11784,29921,34248,31390
Bosnia and Herzegovina,5259,5521,5802,5678,5070,2305,1566,5438,5617,5452
Botswana,1982,2103,1847,1719,1862,816,222,2698,2696,2383
Brazil,922743,495962,570497,633601,616862,237178,20503,683650,1050091,1158441
Brunei,825,846,702,754,844,263,170,433,887,760
Bulgaria,18859,18449,17908,18792,20087,8448,4451,13422,19752,19122
Burkina Faso,5450,5926,2609,1979,2260,900,381,2799,2235,2624
Burma,9262,12092,15081,14403,16883,10647,2211,5077,10493,6858
Burundi,1102,1113,1451,890,759,226,284,884,1369,1228
Cabo Verde,3440,3736,2385,2171,1737,771,283,1537,3948,3825
Cambodia,3449,5131,5409,6136,7147,3316,1789,7355,11377,12879
Cameroon,7479,9454,9432,7748,4860,2100,1119,5515,7624,9014
Canada,216562,186080,160268,166710,193964,91498,17627,125911,240161,249947
Chad,1176,1185,1293,930,1081,331,405,1055,2017,1192
Chile,19259,20942,16787,17540,17092,11508,11071,14677,26872,35270
China,2446917,2125870,1586632,1369229,1101889,242174,160462,129628,248816,559085
Colombia,357435,386051,346775,229449,215902,100285,57542,163435,467217,461359
Congo,6303,6976,6471,7596,7754,2602,2282,5143,11328,12017
Costa Rica,65261,78258,81772,78133,72311,40529,27642,53641,81967,84613
Cote d'Ivoire,5204,6041,6084,6802,7078,2847,964,5395,9062,9905
Croatia,12964,13482,13213,13169,14244,8955,3044,4687,5098,5064
Cuba,18756,10533,13885,1257,568,370,271,626,2699,3505
Curacao,1965,2858,2168,2300,2835,1282,1394,3324,3992,5250
Cyprus,4652,6019,6266,6363,6640,2289,765,4734,7057,7271
Czech Republic,9250,9435,9873,10413,11996,5051,2745,7843,10484,11873
Denmark,11529,13448,13604,13073,12136,5342,3088,9947,12495,12731
Djibouti,655,1336,1258,377,332,115,236,379,724,500
Dominican Republic,93783,146901,205460,140586,102784,62978,77209,81325,132845,172153
Ecuador,157749,156210,173964,163428,179208,87850,88187,186156,273169,239648
Egypt,40395,48586,47322,45289,47061,23599,7719,38217,81815,59217
El Salvador,59921,50496,43527,42708,39790,17433,20255,40011,58769,62828
Equatorial Guinea,1448,1527,1230,1523,1545,411,241,1254,1936,1035
Eritrea,1637,2453,1523,107,79,39,59,211,35,472
Estonia,1823,1853,1880,3368,2946,1448,807,2367,2700,2876
Eswatini,621,739,824,861,880,359,248,1310,3879,2508
Ethiopia,12360,18187,16944,18796,18211,9141,17694,13682,24186,23270
Fiji,6790,7157,5628,4602,4331,1669,383,3945,5434,5103
Finland,6156,6587,6067,6803,6533,2721,1084,4237,5909,6366
France,57981,64285,62723,59735,58255,26735,19720,49844,62856,61546
Gabon,2256,2133,1941,1411,1464,589,331,1623,1930,1947
Gambia,985,1145,873,898,919,333,207,1233,1713,1387
Georgia,8410,6035,6070,7844,7303,2711,1329,2999,8077,9520
Germany,84375,99599,99202,92183,86542,37807,29734,82034,108520,107501
Ghana,9481,10158,11777,16967,18425,6905,6155,17322,28710,26432
Great Britain and Northern Ireland,144837,150851,148724,147388,152157,62311,21819,109411,174862,161898
Greece,7200,7956,7767,7524,7339,3987,3668,5787,7003,8425
Guatemala,55991,61179,51233,47408,50659,27127,19783,62224,89141,99229
Guinea,1328,2169,1684,1056,1058,594,132,1322,2707,1883
Guyana,30121,51202,25338,4923,5296,2255,2862,8004,24460,32547
Haiti,34137,43299,30810,26717,19432,9631,7001,10551,3962,941
Honduras,49025,54027,59821,36049,29330,20497,28934,45736,84735,76989
Hong Kong S.A.R.,72833,82313,82487,81824,77892,27245,14828,26176,63571,82483
Hungary,5553,6508,6538,6587,6492,2454,1795,6541,7647,7812
Iceland,2215,2507,3005,2904,2125,676,482,1744,2709,2348
India,857068,864987,900704,872316,816975,423951,256132,634670,1145462,1112509
Indonesia,65135,67097,68813,71455,73963,34505,36969,89858,106769,78377
Iraq,5710,8096,5694,5299,5587,2103,506,4394,5679,4761
Ireland,20585,19552,19506,18287,19475,6428,1673,15781,23254,23908
Israel,163101,189279,182109,189698,185646,82769,62854,145962,200139,52303
Italy,31660,38492,38056,36951,39825,17001,16955,39587,50032,49440
Jamaica,101831,120363,90196,72751,70494,27888,37158,55115,96324,120866
