Year,Obtaintment of Permanent Residence,Refugee Arrivals,Noncitizen Apprehensions,Noncitizen Removals,Noncitizen Returns
1980.0,524295.0,207116.0,910361.0,18013.0,719211.0
1981.0,595014.0,159252.0,975780.0,17379.0,823875.0
1982.0,533624.0,98096.0,970246.0,15216.0,812572.0
1983.0,550052.0,61218.0,1251357.0,19211.0,931600.0
1984.0,541811.0,70393.0,1246981.0,18696.0,909833.0
1985.0,568149.0,67704.0,1348749.0,23105.0,1041296.0
1986.0,600027.0,62146.0,1767400.0,24592.0,1586320.0
1987.0,599889.0,64528.0,1190488.0,24336.0,1091203.0
1988.0,641346.0,76483.0,1008145.0,25829.0,911790.0
1989.0,1090172.0,107070.0,954243.0,34427.0,830890.0
1990.0,1535872.0,122066.0,1169939.0,30039.0,1022533.0
1992.0,973445.0,115548.0,1258481.0,43671.0,1105829.0
1993.0,903916.0,114181.0,1327261.0,42542.0,1243410.0
1994.0,803993.0,111680.0,1094719.0,45674.0,1029107.0
1995.0,720177.0,98973.0,1394554.0,50924.0,1313764.0
1996.0,915560.0,75421.0,1649986.0,69680.0,1573428.0
1997.0,797847.0,69653.0,1536520.0,114432.0,1440684.0
1998.0,653206.0,76712.0,1679439.0,174813.0,1570127.0
1999.0,644787.0,85285.0,1714035.0,183114.0,1574863.0
2000.0,841002.0,72165.0,1814729.0,188467.0,1675876.0
2001.0,1058902.0,68920.0,1387486.0,189026.0,1349371.0
2002.0,1059356.0,26785.0,1062270.0,165168.0,1012116.0
2004.0,957883.0,52840.0,1264232.0,240665.0,1166576.0
2005.0,1122257.0,53738.0,1291065.0,246431.0,1096920.0
2006.0,1266129.0,41094.0,1206408.0,280974.0,1043381.0
2007.0,1052415.0,48218.0,960673.0,319382.0,891390.0
2008.0,1107126.0,60107.0,1043759.0,359795.0,811263.0
2009.0,1130818.0,74602.0,889212.0,379739.0,582567.0
2010.0,1042625.0,73293.0,796587.0,382449.0,471798.0
2011.0,1062040.0,56384.0,678606.0,390413.0,322046.0
2012.0,1031631.0,58179.0,795735.0,415579.0,231105.0
2013.0,990553.0,69909.0,786223.0,432201.0,178973.0
2014.0,1016518.0,69975.0,805334.0,405026.0,163836.0
2015.0,1051031.0,69920.0,596560.0,324303.0,129636.0
2016.0,1183505.0,84989.0,683782.0,332263.0,106479.0
2017.0,1127167.0,53691.0,607677.0,284298.0,100454.0
2018.0,1096611.0,22405.0,739486.0,327554.0,159960.0
2019.0,1031765.0,29916.0,1175841.0,347183.0,171125.0
