month,removals,arrests,detentions,cluster,month_dt
2011-01,0,0,225,2,2011-01-01
2011-02,0,0,340,2,2011-02-01
2011-03,0,0,486,2,2011-03-01
2011-04,0,0,414,2,2011-04-01
2011-05,0,0,757,2,2011-05-01
2011-06,0,0,986,2,2011-06-01
2011-07,0,0,1057,2,2011-07-01
2011-08,0,0,1454,2,2011-08-01
2011-09,0,0,2277,2,2011-09-01
2011-10,30133,24517,2769,1,2011-10-01
2011-11,30744,23714,4603,1,2011-11-01
2011-12,30374,22257,10410,1,2011-12-01
2012-01,29848,22893,71957,1,2012-01-01
2012-02,32600,23254,80721,1,2012-02-01
2012-03,39256,26379,102516,1,2012-03-01
2012-04,37341,23023,92271,1,2012-04-01
2012-05,40278,24692,100673,1,2012-05-01
2012-06,35697,23133,94258,1,2012-06-01
2012-07,33690,22874,83436,1,2012-07-01
2012-08,35759,23267,87325,1,2012-08-01
2012-09,30928,20590,76471,1,2012-09-01
2012-10,34377,21850,82611,1,2012-10-01
2012-11,30093,19328,75080,1,2012-11-01
2012-12,27010,17571,66775,1,2012-12-01
2013-01,29604,18614,67477,1,2013-01-01
2013-02,29057,16023,67113,1,2013-02-01
2013-03,33001,18040,86635,1,2013-03-01
2013-04,37107,21340,93075,1,2013-04-01
2013-05,38388,19368,87301,1,2013-05-01
2013-06,29139,16414,59691,1,2013-06-01
2013-07,25165,17363,62720,1,2013-07-01
2013-08,27121,18606,74196,1,2013-08-01
2013-09,26165,17241,68944,1,2013-09-01
2013-10,28086,18227,70794,1,2013-10-01
2013-11,24700,15526,64403,0,2013-11-01
2013-12,24070,14979,65708,0,2013-12-01
2014-01,23104,15489,58066,0,2014-01-01
2014-02,24956,14642,63437,0,2014-02-01
2014-03,28696,15542,78447,1,2014-03-01
2014-04,28486,15826,90881,1,2014-04-01
2014-05,29676,14445,89422,1,2014-05-01
2014-06,24609,13209,82780,0,2014-06-01
2014-07,29521,12881,76248,0,2014-07-01
2014-08,25350,12224,64773,0,2014-08-01
2014-09,23338,12509,56399,0,2014-09-01
2014-10,24093,12362,58737,0,2014-10-01
2014-11,19419,9374,48032,0,2014-11-01
